Date,Open,High,Low,Close,Adj Close,Volume
2020-12-17,112.339996,115.660004,112.339996,115.360001,113.672668,511000
2020-12-18,115.470001,115.470001,111.349998,111.839996,110.204147,1187100
2020-12-21,111.839996,113.430000,109.680000,110.410004,108.795067,534900
2020-12-22,110.139999,111.739998,108.980003,109.150002,107.553505,375200
2020-12-23,109.550003,110.160004,108.029999,108.750000,107.159340,306300
2020-12-24,108.480003,109.050003,107.250000,108.650002,107.060822,135300
2020-12-28,109.730003,111.550003,106.709999,106.800003,105.237877,276000
2020-12-29,107.190002,108.250000,106.500000,107.550003,105.976898,367800
2020-12-30,108.120003,109.160004,107.440002,108.199997,106.617386,285200
2020-12-31,108.160004,108.330002,105.730003,106.360001,104.804314,328400
2021-01-04,109.930000,111.389999,108.190002,110.279999,108.666969,519100
2021-01-05,110.989998,111.139999,108.489998,110.639999,109.021698,435800
2021-01-06,110.309998,112.419998,108.540001,111.050003,109.425713,560600
2021-01-07,109.129997,109.839996,108.000000,109.419998,108.111610,424100
2021-01-08,107.300003,107.320000,103.760002,105.599998,104.337288,577200
2021-01-11,105.629997,107.070000,104.639999,106.080002,104.811546,354100
2021-01-12,106.080002,107.919998,105.239998,107.570000,106.283730,626800
2021-01-13,107.519997,108.000000,105.360001,105.580002,104.317528,446800
2021-01-14,106.589996,107.430000,105.220001,105.400002,104.139679,556100
2021-01-15,105.019997,105.150002,102.940002,104.150002,102.904625,596500
2021-01-19,104.930000,106.459999,103.940002,105.860001,104.594170,710100
2021-01-20,107.099998,108.669998,106.220001,107.910004,106.619659,453900
2021-01-21,107.449997,107.900002,105.099998,105.489998,104.228600,305500
2021-01-22,104.000000,106.279999,103.430000,104.940002,103.685181,202200
2021-01-25,105.430000,106.160004,103.010002,104.739998,103.487572,410400
2021-01-26,104.750000,105.629997,104.010002,104.220001,102.973785,227300
2021-01-27,103.540001,104.000000,99.320000,102.150002,100.928535,475800
2021-01-28,103.860001,106.900002,103.129997,104.300003,103.052826,583400
2021-01-29,106.510002,110.690002,106.400002,106.879997,105.601974,791800
2021-02-01,109.269997,110.959999,106.180000,107.529999,106.244202,357700
2021-02-02,105.459999,106.430000,105.000000,105.739998,104.475609,355000
2021-02-03,105.889999,106.279999,104.570000,105.720001,104.455849,312300
2021-02-04,106.199997,106.199997,102.440002,104.129997,102.884857,456600
2021-02-05,104.790001,106.180000,103.720001,105.690002,104.426201,343700
2021-02-08,106.529999,110.239998,105.709999,109.360001,108.052322,577300
2021-02-09,109.940002,110.250000,107.910004,109.070000,107.765793,351100
2021-02-10,109.559998,110.400002,108.010002,110.250000,108.931679,478000
2021-02-11,110.169998,111.449997,109.220001,110.489998,109.168816,654600
2021-02-12,110.389999,111.739998,109.150002,111.029999,109.702347,673100
2021-02-16,110.669998,111.150002,108.239998,108.529999,107.232246,614700
2021-02-17,107.800003,108.000000,105.360001,107.230003,105.947792,736400
2021-02-18,107.180000,108.790001,106.320000,108.220001,106.925957,454300
2021-02-19,108.580002,108.949997,106.779999,107.820000,106.530746,958300
2021-02-22,109.059998,111.269997,108.610001,110.320000,109.000854,649600
2021-02-23,109.080002,109.220001,105.879997,106.910004,105.631630,534000
2021-02-24,105.980003,108.599998,105.730003,107.589996,106.303490,435000
2021-02-25,106.599998,109.040001,105.279999,106.059998,104.791779,383000
2021-02-26,105.000000,105.480003,102.830002,103.709999,102.469879,711400
2021-03-01,105.370003,105.900002,103.040001,103.699997,102.459999,507500
2021-03-02,103.980003,106.959999,103.419998,106.300003,105.028923,460500
2021-03-03,103.449997,104.680000,101.790001,103.589996,102.351318,490000
2021-03-04,103.949997,106.540001,102.230003,103.790001,102.548927,503300
2021-03-05,103.459999,104.860001,101.860001,104.739998,103.487572,333300
2021-03-08,104.379997,104.970001,102.620003,104.000000,102.756416,340600
2021-03-09,106.830002,108.699997,105.110001,106.209999,104.939987,459700
2021-03-10,106.690002,107.919998,104.599998,107.430000,106.145401,374900
2021-03-11,108.000000,109.489998,107.180000,109.139999,107.834953,485000
2021-03-12,107.580002,109.790001,107.129997,109.529999,108.220284,333900
2021-03-15,110.000000,110.110001,106.129997,108.080002,106.787628,741900
2021-03-16,108.099998,108.139999,105.970001,106.050003,104.781906,556700
2021-03-17,105.980003,110.180000,105.699997,109.360001,108.052322,396900
2021-03-18,108.070000,108.099998,105.250000,105.760002,104.495369,412200
2021-03-19,106.260002,107.000000,104.599998,105.809998,104.544769,1598200
2021-03-22,105.570000,108.820000,104.500000,106.800003,105.522934,764000
2021-03-23,106.059998,106.059998,103.919998,104.709999,103.457924,494300
2021-03-24,105.110001,105.790001,103.599998,103.680000,102.440239,430000
2021-03-25,103.440002,104.099998,102.550003,103.360001,102.124069,379800
2021-03-26,103.370003,106.339996,102.949997,105.940002,104.673225,484000
2021-03-29,105.000000,107.900002,104.059998,107.790001,106.501099,503200
2021-03-30,105.639999,107.209999,105.169998,105.599998,104.337288,399000
2021-03-31,105.980003,108.239998,105.610001,107.620003,106.636086,668300
2021-04-01,108.000000,112.070000,107.739998,111.449997,110.431053,515800
2021-04-05,111.440002,112.669998,110.099998,110.709999,109.697823,413100
2021-04-06,112.269997,113.230003,111.690002,111.970001,110.946304,463300
2021-04-07,111.970001,112.099998,110.059998,110.489998,109.479836,273100
2021-04-08,112.059998,112.440002,110.709999,110.959999,109.945541,329500
2021-04-09,109.610001,111.489998,108.500000,110.610001,109.598740,292200
2021-04-12,110.500000,111.820000,110.169998,110.809998,109.796906,227400
2021-04-13,111.709999,112.839996,111.339996,112.180000,111.154388,309600
2021-04-14,112.629997,113.669998,112.080002,112.589996,111.560631,339600
2021-04-15,113.250000,117.070000,113.080002,116.260002,115.197090,435800
2021-04-16,117.000000,117.870003,116.190002,117.629997,116.554550,346100
2021-04-19,117.680000,118.019997,116.449997,117.180000,116.108673,286300
2021-04-20,117.000000,119.209999,116.290001,118.199997,117.119339,462900
2021-04-21,118.529999,119.900002,118.099998,118.800003,117.713860,336600
2021-04-22,117.980003,118.559998,116.940002,118.120003,117.040085,229300
2021-04-23,118.989998,119.339996,117.339996,118.139999,117.059891,262200
2021-04-26,118.620003,118.620003,116.220001,117.010002,115.940231,229600
2021-04-27,116.000000,117.070000,114.709999,114.830002,113.780159,240100
2021-04-28,114.500000,116.309998,113.739998,115.839996,114.780914,251400
2021-04-29,115.339996,115.809998,112.279999,113.989998,112.947838,260400
2021-04-30,113.250000,114.519997,111.459999,111.860001,110.837318,462900
2021-05-03,113.760002,116.879997,113.639999,116.089996,115.028641,285500
2021-05-04,116.089996,118.739998,115.000000,115.400002,114.344948,283200
2021-05-05,116.180000,116.529999,114.620003,115.339996,114.285492,413100
2021-05-06,115.550003,120.000000,115.459999,119.570000,118.476822,462100
2021-05-07,120.199997,121.959999,118.269997,119.949997,118.853348,369900
2021-05-10,121.000000,121.610001,118.279999,118.959999,117.872398,388100
2021-05-11,117.150002,120.400002,116.410004,120.160004,119.061424,306000
2021-05-12,120.529999,121.080002,119.120003,119.839996,118.744347,393400
2021-05-13,119.839996,122.400002,118.290001,121.970001,120.854889,470600
2021-05-14,123.500000,123.860001,122.139999,123.160004,122.034004,328500
2021-05-17,124.339996,128.889999,124.150002,128.080002,126.909027,620800
2021-05-18,128.070007,129.190002,126.150002,127.250000,126.086601,372800
2021-05-19,126.879997,129.690002,123.400002,124.680000,123.540108,495100
2021-05-20,124.699997,126.580002,123.510002,126.029999,124.877769,327700
2021-05-21,126.320000,126.889999,124.220001,125.330002,124.184166,672600
2021-05-24,125.500000,126.620003,125.180000,125.430000,124.283249,299600
2021-05-25,125.199997,125.900002,123.800003,125.269997,124.124710,216300
2021-05-26,125.790001,126.839996,124.540001,124.839996,123.698639,243500
2021-05-27,124.849998,125.430000,123.879997,124.180000,123.044678,305500
2021-05-28,123.279999,124.699997,123.180000,123.769997,122.638420,420000
2021-06-01,124.769997,125.190002,122.510002,123.959999,122.826683,322400
2021-06-02,124.330002,124.949997,123.459999,123.949997,122.816780,265400
2021-06-03,120.650002,122.000000,119.370003,120.309998,119.210060,377300
2021-06-04,121.489998,122.690002,121.260002,122.120003,121.003510,254700
2021-06-07,121.570000,122.540001,121.000000,121.949997,120.835060,309200
2021-06-08,121.610001,121.800003,120.580002,121.419998,120.309906,326100
2021-06-09,121.879997,122.519997,121.620003,121.629997,120.517990,307300
2021-06-10,122.519997,125.699997,121.849998,125.339996,124.194069,507400
2021-06-11,125.080002,125.080002,122.180000,122.860001,121.736740,250500
2021-06-14,121.169998,123.669998,120.919998,123.110001,121.984459,357700
2021-06-15,123.570000,123.800003,120.500000,121.019997,119.913559,396800
2021-06-16,120.900002,122.809998,118.750000,119.080002,117.991302,406900
2021-06-17,115.680000,115.699997,110.720001,112.070000,111.045387,751800
2021-06-18,112.260002,113.199997,109.010002,109.309998,108.310623,1154800
2021-06-21,110.550003,110.879997,109.180000,110.230003,109.222214,390500
2021-06-22,109.550003,112.019997,109.550003,110.900002,109.886093,424200
2021-06-23,111.809998,112.070000,109.970001,110.180000,109.172676,343200
2021-06-24,110.949997,112.290001,110.000000,111.970001,110.946304,484300
2021-06-25,112.680000,113.360001,111.190002,112.400002,111.372375,1562500
2021-06-28,112.769997,113.099998,111.489998,113.000000,111.966896,344000
2021-06-29,111.519997,114.220001,111.360001,114.019997,112.977562,588500
2021-06-30,114.849998,115.320000,113.269997,114.099998,113.056831,598100
2021-07-01,115.089996,115.320000,113.690002,114.529999,113.782066,427900
2021-07-02,115.870003,117.150002,115.199997,116.940002,116.176323,351500
2021-07-06,118.059998,118.339996,115.589996,116.739998,115.977631,620100
2021-07-07,117.419998,119.559998,115.690002,118.800003,118.024178,619800
2021-07-08,119.370003,119.370003,114.510002,114.889999,114.139717,579400
